dt,register_dt,user_id,user_grade,playmode_cycle,playmode_type,playmode_cnt,sum_play_seconds
2023-05-13,2023-05-13,ff18fe1cf20c4e57a3261780cc60a3cd,Unknown,0,1,2,554.0
2023-05-13,2023-05-13,1e2a04ef4e0344368afe6aa58a805289,Unknown,0,1,2,359.0
2023-05-13,2023-05-13,e9095748a552495798932f94b7050ad8,Unknown,0,1,2,702.0
2023-05-13,2023-05-13,e42ff9f95d3746cfaedb60f350d877c5,Unknown,0,1,2,570.0
2023-05-13,2023-05-13,7c38e59e48204c90b51ef302ad0cf136,Unknown,0,1,2,744.0
2023-05-13,2023-05-13,cef765c4151241228759f630b354678f,Unknown,0,1,2,383.0
2023-05-13,2023-05-13,ecb82458b5864dfaa6fc3e9f7f6998c5,Unknown,0,1,2,466.0
2023-05-13,2023-05-13,e2b4fa9e94aa42ee996155d4ee5fbc31,Unknown,0,1,2,645.0
2023-05-13,2023-05-13,0c91979dfa4a451a9320ffaa042855c7,Unknown,0,1,2,439.0
2023-05-13,2023-05-13,b32a4ee12b5b4be39e724887cbf35e44,Unknown,0,1,2,663.0
2023-05-13,2023-05-13,45c946abc94e405bae93a0b26443e068,Unknown,0,1,2,588.0
2023-05-13,2023-05-13,766acfc799474a97bb4346c746f1ef49,Unknown,0,1,2,461.0
2023-05-13,2023-05-13,ae31921f6b8342e6823e369ac3619aa9,Unknown,0,1,2,473.0
2023-05-13,2023-05-13,e8bd3e3851cb4d13ae155698705f1e70,Unknown,0,1,2,479.0
2023-05-13,2023-05-13,07084191b8f34fe5b67888177bde07ac,Unknown,0,1,2,177.0
2023-05-13,2023-05-13,01fd9e4f02224029b860a463c89004ed,Unknown,0,1,2,609.0
2023-05-13,2023-05-13,12e510066dc445219b7ce57e44eef999,Unknown,0,1,2,540.0
2023-05-13,2023-05-13,05f4b7ea4e83478d87592da5b108f6a6,Unknown,0,1,2,567.0
2023-05-13,2023-05-13,adcf718b516946589bba4945501212d8,Unknown,0,1,2,431.0
2023-05-13,2023-05-13,c9c31b603af84e6fa33812713efe9271,Unknown,0,1,2,567.0
2023-05-13,2023-05-13,c496e00bf3714bcfaecb26ef7e04a360,Unknown,0,1,2,513.0
2023-05-13,2023-05-13,26a493a15b5c43a286354e82a00fab41,Unknown,0,1,2,388.0
2023-05-13,2023-05-13,88c34b02317548ef950a1c790894157c,Unknown,0,1,2,366.0
2023-05-13,2023-05-13,ce476f897ddf46e099989c981d7aa454,Unknown,0,1,2,457.0
2023-05-13,2023-05-13,847f353646f64cef88d9f1cb0a6f74ad,Unknown,0,1,2,377.0
2023-05-13,2023-05-13,51c84246fea745e68418aa48c5d4f5bb,Unknown,0,1,2,439.0
2023-05-13,2023-05-13,c9ace8312bf3488b8b55eee58fff8f3b,Unknown,0,1,2,662.0
2023-05-13,2023-05-13,002a259c52e442dfb1cae02460272d05,Unknown,0,1,2,563.0
2023-05-13,2023-05-13,2b66651639d14db69738c46ff2816551,Unknown,0,1,2,523.0
2023-05-13,2023-05-13,620267bebac545aabb6f405df690028f,Unknown,0,1,2,421.0
2023-05-13,2023-05-13,74f26623351b443fb11aecaee833c48c,Unknown,0,1,2,520.0
2023-05-13,2023-05-13,f57a6fd61cbc4d7da4a65eb0de4e9fcd,Unknown,0,1,3,785.0
2023-05-13,2023-05-13,a0493eee29ea4670959e23d426d3d2e8,Unknown,0,1,3,725.0
2023-05-13,2023-05-13,dc93b2313710492cbdb4f8175a4df90f,Unknown,0,1,3,924.0
2023-05-13,2023-05-13,336b101dcd494ae3bbcf4ab578e8d7ac,Unknown,0,1,3,909.0
2023-05-13,2023-05-13,3a2c99a6511c45deb31a178211a1c204,Unknown,0,1,3,714.0
2023-05-13,2023-05-13,af088a5686e04eccbd3b2d544ffddb20,Unknown,0,1,3,543.0
2023-05-13,2023-05-13,18aaf6204fa54ec5a3d10cc90904a49a,Unknown,0,1,3,787.0
2023-05-13,2023-05-13,5d26abdfd8144a15bda0214bd828ca97,Unknown,0,1,3,757.0
2023-05-13,2023-05-13,afa79515358849898b91a0f3220df2f6,Unknown,0,1,3,458.0
2023-05-13,2023-05-13,74bbdc36dff04374b01e5050650ff1c6,Unknown,0,1,3,522.0
2023-05-13,2023-05-13,c0ce421f78804c29a3fd0312dbbdfe90,Unknown,0,1,3,685.0
2023-05-13,2023-05-13,41ee3e57ed274325b3f6efc0114dacdd,Unknown,0,1,3,641.0
2023-05-13,2023-05-13,0870acd3383644e78bd3c0246ad28f31,Unknown,0,1,3,971.0
2023-05-13,2023-05-13,1a8ded98649d4b548e8d386d41219a0d,Unknown,0,1,3,958.0
2023-05-13,2023-05-13,a8eee1c21d63479a873c45fe358462f7,Unknown,0,1,3,735.0
2023-05-13,2023-05-13,a9b448d8f9b34e9c8fc2233d1e444db4,Unknown,0,1,3,783.0
2023-05-13,2023-05-13,d63edfee865c47fbad8feaed7ee52143,Unknown,0,1,3,677.0
2023-05-13,2023-05-13,8b7d69ad087d4ea4aafad245d6c0b2f3,Unknown,0,1,3,506.0
2023-05-13,2023-05-13,3999ef22ff954b29b1eaef0f8914001c,Unknown,0,1,3,652.0
2023-05-13,2023-05-13,4f22f379f953453fb18dca0c85ce7d22,Unknown,0,1,3,786.0
2023-05-13,2023-05-13,f850fc6bac6e496385805f585f4d7ba1,Unknown,0,1,3,948.0
2023-05-13,2023-05-13,a58e286827d840ceb6d5c8f6996e24c5,Unknown,0,1,3,845.0
2023-05-13,2023-05-13,0ae87b7f62d244febd3c58acdd64cc57,Unknown,0,1,3,812.0
2023-05-13,2023-05-13,305dd2cace2e4410b753c3410239c3cb,Unknown,0,1,3,522.0
2023-05-13,2023-05-13,335de7e9ed79491b93476f7a79e2b17d,Unknown,0,1,3,851.0
2023-05-13,2023-05-13,97e5f63b024d4397a5bd0a6d5e57098c,Unknown,0,1,3,847.0
2023-05-13,2023-05-13,28e425e89f164afbbfba95cf387571f5,Unknown,0,1,3,613.0
2023-05-13,2023-05-13,6067ace6eb7b46a8b8d1765dabab1e31,Unknown,0,1,3,795.0
2023-05-13,2023-05-13,fa923c46e58647a79fa748cbec0372be,Unknown,0,1,3,556.0
2023-05-13,2023-05-13,35290842a68e4d14b13c00a78e34662e,Unknown,0,1,3,1077.0
2023-05-13,2023-05-13,a9480469521a40789776aaaf60c7fb12,Unknown,0,1,3,547.0
2023-05-13,2023-05-13,2e8f14586a594c26924417c8d0441ef3,Unknown,0,1,4,1003.0
2023-05-13,2023-05-13,0efb7a0927294857991fb8162e3727f2,Unknown,0,1,4,838.0
2023-05-13,2023-05-13,e8c52007ff734e0097c60a10a735b6b1,Unknown,0,1,4,1157.0
2023-05-13,2023-05-13,23ef6ab35e0f47d9b14c4bf7d2c38281,Unknown,0,1,4,835.0
2023-05-13,2023-05-13,9decbcd28d034d3988ab08486abf38c1,Unknown,0,1,4,950.0
2023-05-13,2023-05-13,98dcc4831b234c2f9ca3554a95d93982,Unknown,0,1,4,1276.0
2023-05-13,2023-05-13,fa7c43cda92348d3a5e4570c92c700ee,Unknown,0,1,4,815.0
2023-05-13,2023-05-13,66f554b9cc624e05a510d471a485e974,Unknown,0,1,4,770.0
2023-05-13,2023-05-13,7338f9f4e9bb452f9b0a25644a0d7958,Unknown,0,1,4,752.0
2023-05-13,2023-05-13,9575a76b9bb44fe4893b0d694eaffbf3,Unknown,0,1,4,1178.0
2023-05-13,2023-05-13,933eac11bb4442f2a2f0453b8f3d1596,Unknown,0,1,4,1264.0
2023-05-13,2023-05-13,80dcb2ef588f48c8a9d3056c455a9cae,Unknown,0,1,4,877.0
2023-05-13,2023-05-13,8ae97d299f1546baac1be4628e1d7c53,Unknown,0,1,4,861.0
2023-05-13,2023-05-13,9969050b26c545e89d4f06ca3e1fe736,Unknown,0,1,4,828.0
2023-05-13,2023-05-13,57c49ba0fdc2463d8ea562444fdbf1a6,Unknown,0,1,4,1370.0
