dt,user_id,on_gold,spend_gold,earn_gold,on_diamond,spend_diamond,earn_diamond
2023-05-09,f655a55deffb484da8bbd211d059ae73,500,0,0,0,0,0
2023-05-09,fd34d119e5444bd1975fe1afea56fdbd,500,0,0,0,0,0
2023-05-09,29b526aad83c4e208fa2b323e56d56fd,500,0,0,0,0,0
2023-05-09,1eac82d7f7b540a48ec44f4efc4638bf,500,0,0,0,0,0
2023-05-09,e431525e2a764f29b9ef7532ed1fe5e8,500,0,0,0,0,0
2023-05-09,180f075c5f5247a1b35650a72c9d9b5d,500,0,0,0,0,0
2023-05-09,cf4e610c58224819b05360562d9df1af,500,0,0,0,0,0
2023-05-09,35202c9a22744aae9291195bd300f245,4597,0,0,0,0,0
2023-05-09,b751ad3f55ce4e608da834eb5c8b8c3b,6144,0,0,0,0,0
2023-05-09,1bd685f0882b4af59785a2971a4bb000,6428,0,0,0,0,0
2023-05-09,0e1539ca48e14e7b8000ba7c90fa4d9e,2105,4000,6105,0,0,0
2023-05-09,8a916ed6990b4f11bd7fe8b98262a520,6212,0,0,0,0,0
2023-05-09,fa7ff09516a94145bc631744e2778237,2373,0,0,0,0,0
2023-05-09,ab0e49569f514117b3e260949f219783,1114,0,0,0,0,0
2023-05-09,9375057fb478444c856f2277826b3001,1122,0,0,0,0,0
2023-05-09,36fe162831b2435ba92ef0e9e6d64439,1123,0,0,0,0,0
2023-05-09,414af0886eff4bd48586f4dacf8cabf6,1123,0,0,0,0,0
2023-05-09,5b8947d4558646618193bd4d99ce0b0b,100,0,0,0,0,0
2023-05-09,a1e7401bc2894323946bd1629a4fad8e,1128,0,0,0,0,0
2023-05-09,c50722a634074aae89297533609061be,6508,0,0,0,0,0
2023-05-09,55e0f2ceeb194857b9d9a74045403797,6253,0,0,0,0,0
2023-05-09,0c11e66eea8b4e47bf8878afab1c19f1,1134,0,0,0,0,0
2023-05-09,6377eaa728494ec08c70fe0018c349fa,1647,0,0,0,0,0
2023-05-09,01bc7c0d4b8e43d991679f2b6b42fd90,6000,0,0,0,0,0
2023-05-09,7466d668ce654110b4ac894500e0be2b,6000,0,0,0,0,0
2023-05-09,5be4557ea401407fbe6adeac4ad99181,1139,0,0,0,0,0
2023-05-09,06c1bff166884d43a9bebefb47620586,1141,0,0,0,0,0
2023-05-09,1ec3bca0f2ef446d926d4f01e60fe79e,1141,0,0,0,0,0
2023-05-09,478e6926c8ff4c4e88cc2b86fd7de764,1142,0,0,0,0,0
2023-05-09,69342578b9054e0f9fea6c9582af27de,6262,0,0,0,0,0
2023-05-09,dc61d4ceaa364569866ee4e9f8b3825a,1143,0,0,0,0,0
2023-05-09,2f199f5718984503a45cc8c9d42714f4,1143,0,0,0,0,0
2023-05-09,c5496dd4ada84e829c4db1cddac0685c,8316,0,0,0,0,0
2023-05-09,5d4668a07b3f46eb828b4b656ba63cd4,1150,0,0,0,0,0
2023-05-09,d67d1481a60a4e519b718808462e5277,6017,0,0,0,0,0
2023-05-09,e632cbbeb4fa4fe690a4158ef63940a8,6536,0,0,0,0,0
2023-05-09,0137fdc6f1ba4733b996e177efa8b7f7,1417,0,0,0,0,0
2023-05-09,e2a14bc7803348f7a603cbb601e8d49c,8081,0,0,0,0,0
2023-05-09,153a2524e9a84930ad5787b485ceb28a,6296,0,0,0,0,0
2023-05-09,191a0f99e4c84e1faa719c1824ade217,6558,0,0,0,0,0
2023-05-09,3aafa12eff10467c9fd5c3452fd2fdf7,8607,0,0,0,0,0
2023-05-09,89fbe8a6d2254aebbde6d5cf6ab0c5f8,2214,0,0,0,0,0
2023-05-09,76783b2ab9144d35ba852e1cdbf076f8,8104,0,0,0,0,0
2023-05-09,336f4343d210446888a2198ab924e29e,8115,0,0,0,0,0
2023-05-09,2262ac814c1f4d29919727dca72b8ddc,8126,0,0,0,0,0
2023-05-09,b7885bdadafd4f588c8c84c4b5a81c36,6102,0,0,0,0,0
2023-05-09,e53bb3cd85a849f385329a81cc883beb,6116,0,0,0,0,0
2023-05-09,097984863168475faf597913b086ab83,1000,0,0,0,0,0
2023-05-09,470fc6931b614d8dbc5d192202247291,1000,0,0,0,0,0
2023-05-09,8610cfe0c7004e9f9d20956fa24159ec,1000,0,0,0,0,0
2023-05-09,6f1f19c5870e4fe6abe820999b26d52e,1000,0,0,0,0,0
2023-05-09,79dbe5c95370444786ddca80221a3ae6,1000,0,1000,0,0,0
2023-05-09,59c9755b67784a348862a0187d3043a5,1000,0,0,0,0,0
2023-05-09,3b86dd3f6b1a491fae2a4bb0344b3d6f,1000,0,0,0,0,0
2023-05-09,0656726847f2468d995b8eac6fcaa2eb,1000,0,0,0,0,0
2023-05-09,d0e89c121c4b4eaab4a23badfcb0eeb8,1000,0,0,0,0,0
2023-05-09,713134d11d12430fbe89a6aa1e9d12f4,1000,0,0,0,0,0
2023-05-09,5583ec906368452ea4ab36b2bbce0b0b,1000,0,0,0,0,0
2023-05-09,1ba7c02dc1dd4303bef7013b91ef979b,1000,0,0,0,0,0
2023-05-09,513a0b152275411a9fe7d0d3a87e32be,1000,0,0,0,0,0
2023-05-09,66e104ec20bd471e8566ca0b9a048c93,1000,0,0,0,0,0
2023-05-09,321d0ebbc6dc490090fec82d98d5fea2,1000,0,0,0,0,0
2023-05-09,5fdd510355814d818991f74ac479b60a,1000,0,0,0,0,0
2023-05-09,150b6b5269404ae3bf3f4796eca5f947,1000,0,0,0,0,0
2023-05-09,4b5d3c289e49498497899151d94e99b2,1000,0,0,0,0,0
2023-05-09,e8703cbbab254a17b0209794666ade0b,1000,0,0,0,0,0
2023-05-09,12c200f8d1084c2bbba53bad24ffb573,1000,0,0,0,0,0
2023-05-09,15b2f709e7264af9910c80ca333978ed,1000,0,0,0,0,0
